Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turnover,Daily_Return,Log_Return,SMA_5,SMA_20,EMA_12,EMA_26,RSI_14,MACD,MACD_Signal,ATR_14,BB_Middle,BB_Std,BB_Upper,BB_Lower,OBV
ADBL,1/1/2012,115,115,113,114,-0.87%,1111,125973,,,,,114,114,18.81918819,0,0,,,,,,0
ADBL,1/2/2012,114,118,115,118,3.51%,551,64227,0.035087719,0.034486176,,,114.6153846,114.2962963,26.21434079,0.319088319,0.063817664,,,,,,551
ADBL,1/3/2012,118,116,114,115,-2.54%,490,56130,-0.025423729,-0.025752496,,,114.6745562,114.3484225,27.58993779,0.326133716,0.116280874,,,,,,61
ADBL,1/4/2012,115,115,113,114,-0.87%,3220,369040,-0.008695652,-0.00873368,,,114.5707783,114.3226134,36.32866172,0.248164911,0.142657682,,,,,,-3159
ADBL,1/5/2012,114,114,112,113,-0.88%,775,87595,-0.00877193,-0.00881063,114.8,,114.3291201,114.2246421,38.97814064,0.104478071,0.13502176,,,,,,-3934
ADBL,1/8/2012,113,115,113,114,0.88%,3240,369120,0.008849558,0.00881063,114.8,,114.2784863,114.2080019,43.53582555,0.070484357,0.122114279,,,,,,-694
ADBL,1/9/2012,114,113,111,111,-2.63%,1710,190718,-0.026315789,-0.026668247,113.4,,113.7741038,113.9703721,45.27537797,-0.196268374,0.058437748,,,,,,-2404
ADBL,1/10/2012,111,114,112,112,0.90%,549,62007,0.009009009,0.00896867,112.8,,113.5011647,113.8244186,34.52840596,-0.323253923,-0.017900586,,,,,,-1855
ADBL,1/11/2012,112,112,111,112,0.00%,2477,277012,0,0,112.4,,113.2702163,113.6892765,50.88562753,-0.419060219,-0.098132512,,,,,,-1855
ADBL,1/12/2012,112,112,110,112,0.00%,3102,344864,0,0,112.2,,113.0747984,113.5641449,54.7807137,-0.489346518,-0.176375314,,,,,,-1855
ADBL,1/16/2012,112,112,111,111,-0.89%,1049,116985,-0.008928571,-0.00896867,111.6,,112.7555987,113.3742083,51.30536814,-0.618609612,-0.264822173,,,,,,-2904
ADBL,1/17/2012,111,114,110,113,1.80%,866,96445,0.018018018,0.017857617,112,,112.7931989,113.3464891,48.04945055,-0.553290274,-0.322515793,,,,,,-2038
ADBL,1/18/2012,118,117,115,117,-0.85%,411,47745,0.03539823,0.034786116,113,,113.440399,113.6171196,49.77423639,-0.176720533,-0.293356741,,,,,,-1627
ADBL,1/22/2012,117,118,115,117,0.00%,4484,522708,0,0,114,,113.98803,113.8677033,46.38613861,0.120326649,-0.210620063,2.642857143,,,,,-1627
ADBL,1/23/2012,117,115,111,112,-4.27%,1650,187270,-0.042735043,-0.043675064,114,,113.6821792,113.7293549,50.56360709,-0.047175721,-0.177931195,2.928571429,,,,,-3277
ADBL,1/25/2012,112,114,111,114,1.79%,1170,130710,0.017857143,0.017699577,114.6,,113.7310747,113.7494027,50.42826552,-0.018327996,-0.146010555,2.857142857,,,,,-2107
ADBL,1/26/2012,114,114,110,112,-1.75%,1060,118750,-0.01754386,-0.017699577,114.4,,113.4647555,113.6198173,57.56874839,-0.155061796,-0.147820803,2.857142857,,,,,-3167
ADBL,1/29/2012,112,114,111,112,0.00%,4200,473960,0,0,113.4,,113.2394085,113.4998308,53.63963465,-0.260422331,-0.170341109,2.928571429,,,,,-3167
ADBL,1/31/2012,112,114,110,110,-1.79%,2291,254352,-0.017857143,-0.018018506,112,,112.741038,113.2405841,44.62058212,-0.499546142,-0.236182115,3.071428571,,,,,-5458
ADBL,2/1/2012,110,113,110,111,0.91%,1833,203887,0.009090909,0.009049836,111.8,113.2,112.473186,113.0746149,38.46153846,-0.601428944,-0.309231481,3.142857143,113.2,2.19089023,117.5817805,108.8182195,-3625
ADBL,2/2/2012,111,113,111,111,0.00%,3946,442100,0,0,111.2,113.05,112.246542,112.9209397,38.99129544,-0.674397761,-0.382264737,3.071428571,113.05,2.235479461,117.5209589,108.5790411,-3625
ADBL,2/5/2012,111,111,109,110,-0.90%,1611,176945,-0.009009009,-0.009049836,110.8,112.65,111.9009201,112.7045738,52.70615563,-0.803653698,-0.466542529,3,112.65,2.007223796,116.6644476,108.6355524,-5236
ADBL,2/6/2012,110,111,110,111,0.91%,992,109391,0.009090909,0.009049836,110.6,112.45,111.762317,112.5783091,45.48862115,-0.815992067,-0.536432437,3,112.45,1.959457497,116.368915,108.531085,-4244
ADBL,2/7/2012,111,110,107,110,-0.90%,2091,227290,-0.009009009,-0.009049836,110.6,112.25,111.4911913,112.3873232,44.97088407,-0.896131906,-0.608372331,3.142857143,112.25,1.996707817,116.2434156,108.2565844,-6335
ADBL,2/8/2012,110,110,109,110,0.00%,386,42300,0,0,110.4,112.1,111.2617773,112.2104845,47.81626506,-0.948707199,-0.676439304,3.142857143,112.1,2.049390153,116.1987803,108.0012197,-6335
ADBL,2/9/2012,110,110,109,109,-0.91%,920,100990,-0.009090909,-0.009132484,110,111.85,110.9138116,111.9726708,55.16564417,-1.05885927,-0.752923297,2.928571429,111.85,2.109502311,116.0690046,107.6309954,-7255
ADBL,2/12/2012,109,109,108,109,0.00%,1309,142115,0,0,109.8,111.75,110.619379,111.752473,61.29237288,-1.133093978,-0.828957434,2.714285714,111.75,2.197486603,116.1449732,107.3550268,-7255
ADBL,2/13/2012,109,111,107,108,-0.92%,1992,216906,-0.009174312,-0.009216655,109.2,111.55,110.2163976,111.474512,54.89563567,-1.258114402,-0.914788827,2.785714286,111.55,2.350251946,116.2505039,106.8494961,-9247
ADBL,2/14/2012,108,110,107,109,0.93%,1961,211790,0.009259259,0.009216655,109,111.4,110.0292595,111.2912148,63.38570548,-1.26195531,-0.984222124,2.571428571,111.4,2.414866238,116.2297325,106.5702675,-7286
ADBL,2/15/2012,109,111,110,111,1.83%,276,30410,0.018348624,0.018182319,109.2,111.35,110.1786042,111.2696434,71.58697159,-1.091039152,-1.00558553,2.5,111.35,2.412140347,116.1742807,106.5257193,-7010
ADBL,2/16/2012,111,109,107,108,-2.70%,550,59100,-0.027027027,-0.027398974,109,111.2,109.8434343,111.0274476,72.92299564,-1.184013227,-1.041271069,2.5,111.2,2.525657809,116.2513156,106.1486844,-7560
ADBL,2/21/2012,108,109,108,109,0.93%,631,68289,0.009259259,0.009216655,109,111,109.7136752,110.8772663,73.35612835,-1.163591054,-1.065735066,2.357142857,111,2.533979604,116.0679592,105.9320408,-6929
ADBL,2/23/2012,109,109,107,109,0.00%,1230,132700,0,0,109.2,110.6,109.603879,110.7382095,74.46268856,-1.13433048,-1.079454149,2.214285714,110.6,2.137386501,114.874773,106.325227,-6929
ADBL,2/26/2012,109,109,105,107,-1.83%,2747,293109,-0.018348624,-0.018519048,108.8,110.1,109.2032822,110.4613051,76.72627235,-1.258022845,-1.115167888,2.285714286,110.1,1.682729612,113.4654592,106.7345408,-9676
ADBL,2/27/2012,107,109,107,108,0.93%,1285,139322,0.009345794,0.009302393,108.2,109.9,109.0181619,110.2789862,76.74546454,-1.260824295,-1.144299169,2.285714286,109.9,1.682729612,113.2654592,106.5345408,-8391
ADBL,2/28/2012,108,110,107,109,0.93%,2204,238530,0.009259259,0.009216655,108.4,109.65,109.0153678,110.1842465,76.58131488,-1.168878715,-1.149215078,2.357142857,109.65,1.386969434,112.4239389,106.8760611,-6187
