Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turnover,Daily_Return,Log_Return,SMA_5,SMA_20,EMA_12,EMA_26,RSI_14,MACD,MACD_Signal,ATR_14,BB_Middle,BB_Std,BB_Upper,BB_Lower,OBV
BBC,1/10/2012,2810,2760,2598,2598,-7.54%,277,742033,,,,,2598,2598,16.80611861,0,0,,,,,,0
BBC,1/11/2012,2598,2547,2400,2400,-7.62%,195,472375,-0.076212471,-0.079273181,,,2567.538462,2583.333333,25.84584533,-15.79487179,-3.158974359,,,,,,-195
BBC,2/27/2012,2400,2352,2352,2352,-2.00%,98,230496,-0.02,-0.020202707,,,2534.378698,2566.197531,35.50562171,-31.81883264,-8.890946015,,,,,,-293
BBC,2/29/2012,2352,2469,2469,2469,4.97%,430,1061670,0.049744898,0.04854718,,,2524.320437,2558.997714,42.89168644,-34.6772768,-14.04821217,,,,,,137
BBC,3/4/2012,2469,2420,2420,2420,-1.98%,1827,4421340,-0.019846092,-0.02004567,2447.8,,2508.271139,2548.701587,34.57755675,-40.43044785,-19.32465931,,,,,,-1690
BBC,3/11/2012,2420,2419,2419,2419,-0.04%,500,1209500,-0.000413223,-0.000413309,2412,,2494.537118,2539.094062,38.58482323,-44.55694428,-24.3711163,,,,,,-2190
BBC,3/19/2012,2419,2450,2450,2450,1.28%,690,1690500,0.012815213,0.012733793,2422,,2487.685253,2532.494502,40.13837075,-44.80924839,-28.45874272,,,,,,-1500
BBC,3/20/2012,2450,2401,2352,2352,-4.00%,319,763244,-0.04,-0.040821995,2422,,2466.810599,2519.124539,40.47827515,-52.31393966,-33.22978211,,,,,,-1819
BBC,3/21/2012,2352,2399,2399,2399,2.00%,690,1655310,0.019982993,0.019785954,2408,,2456.378199,2510.226425,37.48353096,-53.84822553,-37.35347079,,,,,,-1129
BBC,3/29/2012,2399,2399,2399,2399,0.00%,50,119950,0,0,2403.8,,2447.550784,2501.98743,46.04060783,-54.43664636,-40.7701059,,,,,,-1129
BBC,4/3/2012,2399,2399,2399,2399,0.00%,50,119950,0,0,2399.8,,2440.081433,2494.358732,31.10563412,-54.27729919,-43.47154456,,,,,,-1129
BBC,4/4/2012,2399,2352,2259,2259,-5.84%,309,712255,-0.058357649,-0.060129746,2361.6,,2412.222751,2476.924752,27.21473757,-64.70200099,-47.71763585,,,,,,-1438
BBC,4/5/2012,2259,2259,2259,2259,0.00%,50,112950,0,0,2343,,2388.65002,2460.782177,40.42548582,-72.13215766,-52.60054021,,,,,,-1438
BBC,4/8/2012,2259,2214,2169,2169,-3.98%,530,1150520,-0.039840637,-0.040656006,2297,,2354.857709,2439.168683,37.5214904,-84.31097376,-58.94262692,70.07142857,,,,,-1968
BBC,4/12/2012,2169,2169,2169,2169,0.00%,300,650700,0,0,2251,,2326.264215,2419.156188,33.89245593,-92.89197244,-65.73249602,58.5,,,,,-1968
BBC,4/24/2012,2169,2126,2084,2084,-3.92%,1492,3109748,-0.039188566,-0.039977108,2188,,2288.992798,2394.329803,32.55919457,-105.3370059,-73.653398,50.42857143,,,,,-3460
BBC,4/25/2012,2084,2100,2100,2100,0.77%,500,1050000,0.007677543,0.007648221,2156.2,,2259.916983,2372.527596,31.20060935,-112.6106132,-81.44484105,48.14285714,,,,,-2960
BBC,5/10/2012,2100,2058,2017,2017,-3.95%,550,1129850,-0.03952381,-0.040326086,2107.8,,2222.545139,2346.192218,37.96698794,-123.6470793,-89.88528869,45.71428571,,,,,-3510
BBC,6/20/2012,2017,2049,2049,2049,1.59%,100,204900,0.015865146,0.01574061,2083.8,,2195.845887,2324.17798,45.08513568,-128.332093,-97.57464956,44.5,,,,,-3410
BBC,6/26/2012,2049,2050,2050,2050,0.05%,24,49200,0.000488043,0.000487924,2060,2290.65,2173.408058,2303.8685,43.37572012,-130.4604418,-104.151808,44.5,2290.65,168.8067332,2628.263466,1953.036534,-3386
BBC,7/31/2012,2050,2010,2000,2000,-2.44%,110,220100,-0.024390244,-0.024692613,2043.2,2260.75,2146.729895,2281.359722,47.82175944,-134.6298268,-110.2474118,45.85714286,2260.75,164.4051078,2589.560216,1931.939784,-3496
BBC,8/13/2012,2000,1961,1961,1961,-1.95%,10,19610,-0.0195,-0.019692633,2015.4,2238.8,2118.156065,2257.629372,52.14730686,-139.4733071,-116.0925908,41.64285714,2238.8,173.8685529,2586.537106,1891.062894,-3506
BBC,8/23/2012,1961,2000,2000,2000,1.99%,10,20000,0.019887812,0.019692633,2012,2221.2,2099.978209,2238.545715,56.48737279,-138.5675061,-120.5875739,41.07142857,2221.2,179.5302643,2580.260529,1862.139471,-3496
BBC,8/26/2012,2000,1960,1921,1921,-3.95%,510,980100,-0.0395,-0.040301297,1986.4,2193.8,2072.4431,2215.02381,52.49494392,-142.5807103,-124.9862012,46.71428571,2193.8,181.5273214,2556.854643,1830.745357,-4006
BBC,8/27/2012,1921,1883,1883,1883,-1.98%,10,18830,-0.019781364,-0.019979634,1953,2166.95,2043.298008,2190.429454,57.8919594,-147.1314463,-129.4152502,49.42857143,2166.95,185.9687226,2538.887445,1795.012555,-4016
BBC,8/28/2012,1883,1846,1846,1846,-1.96%,10,18460,-0.019649495,-0.019845114,1922.2,2138.3,2012.944468,2164.916161,62.02367042,-151.9716931,-133.9265388,42.07142857,2138.3,189.2041782,2516.708356,1759.891644,-4026
BBC,8/29/2012,1846,1810,1810,1810,-1.95%,10,18100,-0.019501625,-0.019694291,1892,2106.3,1981.722242,2138.626075,57.03777929,-156.9038329,-138.5219976,44.64285714,2106.3,187.8283371,2481.956674,1730.643326,-4036
BBC,8/30/2012,1810,1774,1705,1705,-5.80%,30,52180,-0.05801105,-0.059761735,1833,2073.95,1939.14959,2106.505625,60.55934716,-167.3560356,-144.2888052,45.71428571,2073.95,198.6868668,2471.323734,1676.576266,-4066
BBC,9/12/2012,1705,1773,1739,1773,3.99%,20,35120,0.039882698,0.039107916,1803.4,2042.65,1913.588114,2081.801505,70.95721826,-168.2133905,-149.0737222,50.57142857,2042.65,194.0391374,2430.728275,1654.571725,-4046
BBC,9/17/2012,1773,1808,1808,1808,1.97%,10,18080,0.019740553,0.019548235,1788.4,2013.1,1897.343789,2061.519912,78.59860448,-164.1761228,-152.0942024,47,2013.1,181.5117511,2376.123502,1650.076498,-4036
BBC,9/18/2012,1808,1772,1772,1772,-1.99%,50,88600,-0.019911504,-0.02011241,1773.6,1981.75,1878.060129,2040.073992,81.50388292,-162.0138633,-154.0781345,48.42857143,1981.75,164.7226936,2311.195387,1652.304613,-4086
BBC,9/19/2012,1772,1807,1807,1807,1.98%,10,18070,0.019751693,0.019559159,1773,1959.15,1867.127802,2022.809252,75.00504541,-155.6814506,-154.3987978,45,1959.15,155.4268401,2270.00368,1648.29632,-4076
BBC,9/20/2012,1807,1800,1800,1800,-0.39%,10,18000,-0.003873824,-0.003881347,1792,1936.2,1856.800447,2006.304863,58.95007526,-149.5044157,-153.4199213,43.21428571,1936.2,142.1409975,2220.481995,1651.918005,-4086
BBC,9/23/2012,1800,1800,1799,1800,0.00%,30,53990,0,0,1797.4,1917.75,1848.061917,1991.023021,61.76167014,-142.9611043,-151.3281579,43.21428571,1917.75,134.0510017,2185.852003,1649.647997,-4086
BBC,9/27/2012,1800,1830,1830,1830,1.67%,10,18300,0.016666667,0.016529302,1801.8,1900.8,1845.283161,1979.09539,51.45434721,-133.8122296,-147.8249723,41.78571429,1900.8,121.449838,2143.699676,1657.900324,-4076
BBC,10/7/2012,1830,1829,1829,1829,-0.05%,348,636492,-0.000546448,-0.000546597,1813.2,1888.05,1842.778059,1967.977213,54.83253432,-125.1991542,-143.2998087,39.07142857,1888.05,114.384612,2116.819224,1659.280776,-4424
BBC,12/17/2012,1829,1793,1793,1793,-1.97%,200,358600,-0.019682887,-0.019879175,1810.4,1872.7,1835.119896,1955.015938,50.29398678,-119.8960421,-138.6190553,38.85714286,1872.7,104.6277109,2081.955422,1663.444578,-4624
BBC,1/22/2013,1793,1758,1758,1758,-1.95%,10,17580,-0.019520357,-0.019713395,1802,1859.75,1823.255297,1940.422165,55.56180741,-117.1668683,-134.3286179,35.71428571,1859.75,101.8181428,2063.386286,1656.113714,-4634
BBC,1/23/2013,1758,1793,1793,1793,1.99%,500,896500,0.019908987,0.019713395,1800.6,1846.95,1818.600636,1929.502005,49.97272711,-110.9013689,-129.6431681,35.5,1846.95,92.43346113,2031.816922,1662.083078,-4134
BBC,1/31/2013,1793,1828,1828,1828,1.95%,10,18280,0.019520357,0.019332278,1800.2,1835.85,1820.046692,1921.983338,50.29039912,-101.9366459,-124.1018637,35.35714286,1835.85,79.14029847,1994.130597,1677.569403,-4124
BBC,2/4/2013,1828,1864,1864,1864,1.97%,10,18640,0.019693654,0.019502243,1807.2,1829.05,1826.808739,1917.688276,40.80449886,-90.87953639,-117.4573982,35.35714286,1829.05,69.55609247,1968.162185,1689.937815,-4114
BBC,2/5/2013,1864,1901,1901,1901,1.98%,10,19010,0.019849785,0.019655347,1828.8,1826.05,1838.222779,1916.452107,42.64301504,-78.2293277,-109.6117841,30.5,1826.05,64.68911484,1955.42823,1696.67177,-4104
BBC,2/6/2013,1901,1939,1939,1939,2.00%,10,19390,0.019989479,0.019792313,1865,1823,1853.726967,1918.122321,54.5326585,-64.39535419,-100.5684981,28.35714286,1823,57.04199746,1937.083995,1708.916005,-4094
BBC,2/19/2013,1939,1901,1901,1901,-1.96%,320,608320,-0.019597731,-0.019792313,1886.6,1822,1860.999741,1916.854001,53.86401621,-55.8542598,-91.62565046,28.57142857,1822,55.38477845,1932.769557,1711.230443,-4414
BBC,2/21/2013,1901,1863,1825,1825,-4.00%,564,1047167,-0.039978958,-0.040800076,1886,1819.1,1855.46132,1910.050001,43.57027523,-54.58868146,-84.21825666,31.42857143,1819.1,53.50936957,1926.118739,1712.081261,-4978
BBC,2/26/2013,1825,1790,1790,1790,-1.92%,162,289980,-0.019178082,-0.019364367,1871.2,1816.3,1845.390347,1901.157408,41.50600901,-55.76706104,-78.52801754,31.42857143,1816.3,53.49284261,1923.285685,1709.314315,-5140
BBC,3/5/2013,1790,1760,1760,1760,-1.68%,10,17600,-0.016759777,-0.016901811,1843,1813.8,1832.253371,1890.701304,46.19002181,-58.44793323,-74.51200068,33.07142857,1813.8,54.95127028,1923.702541,1703.897459,-5150
BBC,3/6/2013,1760,1725,1725,1725,-1.99%,145,250125,-0.019886364,-0.020086759,1800.2,1814.8,1815.752852,1878.427133,42.3478553,-62.67428115,-72.14445677,35.5,1814.8,53.01499291,1920.829986,1708.770014,-5295
BBC,3/11/2013,1725,1695,1695,1695,-1.74%,60,101700,-0.017391304,-0.01754431,1759,1810.9,1797.17549,1864.839938,52.83753237,-67.66444797,-71.24845501,35.5,1810.9,58.80467221,1928.509344,1693.290656,-5355
BBC,3/13/2013,1695,1720,1720,1720,1.47%,35,60200,0.014749263,0.01464155,1738,1806.5,1785.302338,1854.111054,40.40735564,-68.80871601,-70.76050721,37.21428571,1806.5,62.22581965,1930.951639,1682.048361,-5320
BBC,3/14/2013,1720,1686,1686,1686,-1.98%,80,134880,-0.019767442,-0.019965431,1717.2,1802.2,1770.025055,1841.658383,39.25879589,-71.63332812,-70.93507139,37.07142857,1802.2,67.48457914,1937.169158,1667.230842,-5400
BBC,3/17/2013,1686,1670,1670,1670,-0.95%,28,46760,-0.009489917,-0.009535233,1699.2,1795.35,1754.636585,1828.942948,41.30075787,-74.30636235,-71.60932958,35.71428571,1795.35,73.64371914,1942.637438,1648.062562,-5428
BBC,3/20/2013,1670,1637,1637,1637,-1.98%,24,39288,-0.019760479,-0.019958328,1681.6,1787.2,1736.538649,1814.724951,38.47978578,-78.18630242,-72.92472415,35.57142857,1787.2,81.68269803,1950.565396,1623.834604,-5452
BBC,4/1/2013,1637,1650,1650,1650,0.79%,300,495000,0.007941356,0.00790999,1672.6,1779.7,1723.225011,1802.523103,38.39596887,-79.29809247,-74.19939782,34,1779.7,87.14905562,1953.998111,1605.401889,-5152
BBC,4/9/2013,1650,1640,1640,1640,-0.61%,20,32800,-0.006060606,-0.006079046,1656.6,1770.2,1710.421163,1790.484355,39.08730745,-80.06319189,-75.37215663,32.14285714,1770.2,91.61854558,1953.437091,1586.962909,-5172
BBC,4/22/2013,1640,1670,1670,1670,1.83%,10,16700,0.018292683,0.018127385,1653.4,1762.25,1704.202522,1781.559588,42.0072441,-77.35706532,-75.76913837,31.64285714,1762.25,93.13367586,1948.517352,1575.982648,-5162
BBC,4/23/2013,1670,1672,1672,1672,0.12%,10,16720,0.001197605,0.001196888,1653.8,1756.2,1699.248288,1773.444063,25.50075284,-74.19577452,-75.4544656,29.07142857,1756.2,94.94352892,1946.087058,1566.312942,-5152
BBC,4/25/2013,1672,1730,1700,1730,3.47%,20,34300,0.034688995,0.034100894,1672.4,1754.8,1703.979321,1770.225984,26.3255405,-66.24666322,-73.61290512,30.5,1754.8,95.1218609,1945.043722,1564.556278,-5132
BBC,5/21/2013,1730,1764,1764,1764,1.97%,10,17640,0.019653179,0.019462549,1695.2,1753.35,1713.213271,1769.7648,34.28780458,-56.55152857,-70.20062981,27.5,1753.35,94.72912907,1942.808258,1563.891742,-5122
BBC,5/23/2013,1764,1799,1799,1799,1.98%,10,17990,0.01984127,0.019646997,1727,1751.9,1726.41123,1771.93037,41.92474192,-45.5191407,-65.26433199,27.5,1751.9,93.74315414,1939.386308,1564.413692,-5112
BBC,6/23/2013,1799,1833,1833,1833,1.89%,100,183300,0.018899389,0.018723014,1759.6,1750.35,1742.809502,1776.454047,40.5150278,-33.64454461,-58.94037452,27.78571429,1750.35,92.03276019,1934.41552,1566.28448,-5012
BBC,7/8/2013,1833,1742,1742,1742,-4.96%,60,104520,-0.04964539,-0.05092009,1773.6,1742.4,1742.684963,1773.901895,40.77323475,-31.21693179,-53.39568597,31.78571429,1742.4,84.92746131,1912.254923,1572.545077,-5072
BBC,7/16/2013,1742,1742,1742,1742,0.00%,400,696800,0,0,1776,1732.55,1742.579584,1771.538792,30.07068544,-28.95920741,-48.50839026,29.64285714,1732.55,71.24788085,1875.045762,1590.054238,-5072
BBC,7/23/2013,1742,1776,1776,1776,1.95%,10,17760,0.019517796,0.019329766,1778.4,1726.3,1747.721187,1771.869252,32.32232701,-24.14806487,-43.63632518,30.28571429,1726.3,60.34122271,1846.982445,1605.617555,-5062
BBC,9/11/2013,1776,1776,1776,1776,0.00%,36,63936,0,0,1773.8,1723.85,1752.071773,1772.175233,47.15223698,-20.10345958,-38.92975206,27.85714286,1723.85,57.02656352,1837.903127,1609.796873,-5062
BBC,9/22/2013,1776,1741,1741,1741,-1.97%,130,226330,-0.019707207,-0.019903984,1755.4,1721.4,1750.368424,1769.865956,44.38597196,-19.49753281,-35.04330821,29.21428571,1721.4,55.05346683,1831.506934,1611.293066,-5192
BBC,10/6/2013,1741,1741,1741,1741,0.00%,30,52230,0,0,1755.2,1720.45,1748.927128,1767.727737,34.84719463,-18.80060976,-31.79476852,26.85714286,1720.45,54.51361491,1829.47723,1611.42277,-5192
BBC,11/28/2013,1741,1755,1755,1755,0.80%,292,512460,0.008041356,0.008009196,1757.8,1721.95,1749.861416,1766.784942,40.45230251,-16.92352635,-28.82052009,26.92857143,1721.95,55.05545052,1832.060901,1611.839099,-4900
BBC,12/10/2013,1755,1730,1730,1730,-1.42%,105,181650,-0.014245014,-0.014347448,1748.6,1723.7,1746.805813,1764.060132,41.10553982,-17.25431824,-26.50727972,28,1723.7,54.70889469,1833.117789,1614.282211,-5005
BBC,12/18/2013,1730,1764,1764,1764,1.97%,100,176400,0.019653179,0.019462549,1746.2,1725.9,1749.451073,1764.055677,30.60659898,-14.60460456,-24.12674469,28.28571429,1725.9,55.43217762,1836.764355,1615.035645,-4905
