Date,Symbol,Side,Quantity,Price,TradeValue,PnL,CashAfterTrade,TotalValue,EntryDate,EntryPrice,Reason
2012-04-01,ALICL,BUY,380,156.0,59280.0,,140720.0,200000.0,2012-04-01,156.0,BUY: 3rd Month Low (Support reached)
2012-04-01,JBBL,BUY,660,77.0,50820.0,,89900.0,169980.0,2012-04-01,77.0,BUY: 3rd Month Low (Support reached)
2012-04-01,KBL,BUY,470,166.0,78020.0,,11880.0,262540.0,2012-04-01,166.0,BUY: 3rd Month Low (Support reached)
2012-04-01,NHPC,BUY,240,45.0,10800.0,,1080.0,79830.0,2012-04-01,45.0,BUY: 3rd Month Low (Support reached)
2012-04-15,KBL,SELL,470,189.0,88830.0,10810.0,89910.0,331830.0,2012-04-01,166.0,SELL: Profit Target Reached (+Rs. 20)
2012-04-16,JBBL,SELL,660,97.0,64020.0,13200.0,153930.0,214070.0,2012-04-01,77.0,SELL: Profit Target Reached (+Rs. 20)
2012-04-17,ALICL,SELL,380,177.0,67260.0,7980.0,221190.0,263670.0,2012-04-01,156.0,SELL: Profit Target Reached (+Rs. 20)
2012-04-29,NHPC,SELL,240,70.0,16800.0,6000.0,237990.0,237990.0,2012-04-01,45.0,SELL: Profit Target Reached (+Rs. 20)
2012-05-23,AHPC,BUY,230,304.0,69920.0,,168070.0,237990.0,2012-05-23,304.0,BUY: 3rd Month Low (Support reached)
2012-07-02,ALICL,BUY,310,202.0,62620.0,,105450.0,214530.0,2012-07-02,202.0,BUY: 3rd Month Low (Support reached)
2012-07-09,JBBL,BUY,510,89.0,45390.0,,60060.0,153510.0,2012-07-09,89.0,BUY: 3rd Month Low (Support reached)
2012-07-12,GBBL,BUY,420,140.0,58800.0,,1260.0,207060.0,2012-07-12,140.0,BUY: 3rd Month Low (Support reached)
2012-07-22,GBBL,SELL,420,161.0,67620.0,8820.0,68880.0,237930.0,2012-07-12,140.0,SELL: Profit Target Reached (+Rs. 20)
2012-08-08,SANIMA,BUY,300,224.0,67200.0,,1680.0,304080.0,2012-08-08,224.0,BUY: 3rd Month Low (Support reached)
2012-08-13,AHPC,SELL,230,339.0,77970.0,8050.0,79650.0,459330.0,2012-05-23,304.0,SELL: Profit Target Reached (+Rs. 20)
