Symbol,Quantity,EntryDate,EntryPrice,CurrentPrice,UnrealizedPnL
CZBIL,20,2024-10-27,230.3,197.0,-666.0000000000002
ADBL,10,2024-11-21,357.0,298.7,-583.0000000000001
PCBL,10,2024-12-01,277.4,234.0,-433.9999999999998
HBL,10,2024-12-08,254.9,187.0,-679.0
KBL,20,2024-12-19,212.3,179.0,-666.0000000000002
SBI,10,2025-01-15,450.8,376.9,-739.0000000000003
NHPC,20,2025-08-05,218.7,178.6,-801.9999999999999
ALICL,10,2025-08-07,497.2,462.8,-343.9999999999998
JBBL,10,2025-08-24,332.0,309.0,-230.0
AHPC,10,2025-08-31,289.7,268.0,-216.9999999999999
CHCL,10,2025-09-07,493.2,464.0,-291.9999999999999
GBBL,10,2025-09-18,418.0,395.0,-230.0
NMB,10,2025-09-18,248.0,239.0,-90.0
