Date,Symbol,Quantity,SellPrice,SellValue,PnL,CashAfterTrade,EntryDate,EntryPrice
2012-04-15,BPCL,10,434.0,4340.0,380.0,169940.0,2012-04-10,396.0
2012-04-15,KBL,20,189.0,3780.0,460.0,173720.0,2012-04-01,166.0
2012-04-15,NMB,20,167.0,3340.0,400.0,177060.0,2012-04-01,147.0
2012-04-15,PCBL,20,192.0,3840.0,540.0,180900.0,2012-04-01,165.0
2012-04-16,JBBL,50,97.0,4850.0,1000.0,185750.0,2012-04-01,77.0
2012-04-16,NTC,10,430.0,4300.0,300.0,190050.0,2012-04-01,400.0
2012-04-17,ALICL,20,177.0,3540.0,420.0,193590.0,2012-04-01,156.0
2012-04-29,NHPC,80,70.0,5600.0,2000.0,199190.0,2012-04-01,45.0
2012-05-24,CBBL,10,293.0,2930.0,370.0,199080.0,2012-04-12,256.0
2012-07-22,GBBL,20,161.0,3220.0,420.0,179530.0,2012-07-12,140.0
2012-08-13,AHPC,10,339.0,3390.0,350.0,180680.0,2012-05-23,304.0
2012-09-09,ALICL,20,234.0,4680.0,640.0,180260.0,2012-07-02,202.0
2012-09-18,DDBL,10,297.0,2970.0,220.0,183230.0,2012-08-28,275.0
2012-09-30,OHL,50,95.0,4750.0,1000.0,187980.0,2012-04-04,75.0
2012-11-06,GBBL,20,168.0,3360.0,400.0,181830.0,2012-10-11,148.0
2012-11-06,PCBL,10,255.0,2550.0,200.0,184380.0,2012-08-14,235.0
2012-11-07,KBL,10,265.0,2650.0,230.0,187030.0,2012-07-16,242.0
2012-11-08,NMB,20,214.0,4280.0,480.0,191310.0,2012-07-12,190.0
2012-11-21,CZBIL,10,252.0,2520.0,220.0,193830.0,2012-07-16,230.0
2012-12-06,SANIMA,10,254.0,2540.0,300.0,196370.0,2012-08-08,224.0
2012-12-17,CBBL,10,421.0,4210.0,300.0,194340.0,2012-12-13,391.0
2013-01-15,ALICL,10,255.0,2550.0,220.0,190650.0,2012-12-09,233.0
2013-02-06,AHPC,10,353.0,3530.0,210.0,184490.0,2012-11-05,332.0
2013-04-15,DDBL,10,313.0,3130.0,200.0,175350.0,2013-02-10,293.0
2013-04-28,NHPC,70,77.0,5390.0,1540.0,172640.0,2012-07-12,55.0
2013-05-08,CBBL,10,431.0,4310.0,300.0,167570.0,2013-01-21,401.0
2013-05-16,PCBL,10,336.0,3360.0,240.0,170930.0,2013-05-02,312.0
2013-06-03,ALICL,10,254.0,2540.0,220.0,173470.0,2013-01-17,232.0
2013-06-04,OHL,30,144.0,4320.0,600.0,177790.0,2013-03-20,124.0
2013-07-10,JBBL,40,81.0,3240.0,-320.0,181030.0,2012-07-09,89.0
2013-07-23,KBL,10,285.0,2850.0,250.0,183880.0,2013-05-02,260.0
2013-07-24,FMDBL,20,192.0,3840.0,500.0,187720.0,2013-01-06,167.0
2013-08-15,MDB,20,166.0,3320.0,420.0,183680.0,2012-12-17,145.0
2013-08-18,ADBL,10,274.0,2740.0,280.0,186420.0,2013-03-31,246.0
2013-08-20,MNBBL,10,350.0,3500.0,270.0,189920.0,2012-10-07,323.0
2013-08-25,GBBL,20,200.0,4000.0,640.0,193920.0,2013-01-30,168.0
2013-09-09,OHL,30,162.0,4860.0,690.0,198780.0,2013-08-14,139.0
2013-10-21,AHPC,10,360.0,3600.0,440.0,192360.0,2013-02-25,316.0
2013-10-28,MNBBL,10,317.0,3170.0,310.0,192430.0,2013-09-30,286.0
2013-11-13,CZBIL,10,291.0,2910.0,230.0,195340.0,2013-04-21,268.0
2013-11-13,GBBL,20,184.0,3680.0,420.0,199020.0,2013-10-07,163.0
2013-11-21,PCBL,10,339.0,3390.0,200.0,202410.0,2013-08-07,319.0
2013-11-24,SANIMA,10,315.0,3150.0,380.0,205560.0,2013-04-22,277.0
2013-11-25,NMB,10,297.0,2970.0,320.0,208530.0,2013-04-23,265.0
2013-11-27,JBBL,50,98.0,4900.0,1000.0,213430.0,2013-09-24,78.0
2013-12-05,NHPC,60,82.0,4920.0,1260.0,218350.0,2013-05-05,61.0
2013-12-15,MDB,20,175.0,3500.0,400.0,221850.0,2013-10-24,155.0
2014-04-03,AHPC,10,480.0,4800.0,410.0,214010.0,2014-03-11,439.0
2014-05-06,NMB,10,416.0,4160.0,290.0,211250.0,2014-03-11,387.0
2014-05-07,GBBL,10,293.0,2930.0,340.0,214180.0,2014-04-06,259.0
2014-06-03,ADBL,10,460.0,4600.0,220.0,214400.0,2014-05-19,438.0
2014-06-04,KBL,10,457.0,4570.0,240.0,218970.0,2014-04-10,433.0
2014-06-11,CZBIL,10,459.0,4590.0,210.0,219110.0,2014-03-17,438.0
2014-06-16,ADBL,10,498.0,4980.0,530.0,224090.0,2014-06-09,445.0
2014-09-17,MDB,10,483.0,4830.0,410.0,208600.0,2014-09-07,442.0
2014-11-20,ADBL,10,457.0,4570.0,270.0,197140.0,2014-11-18,430.0
2014-11-24,MDB,10,460.0,4600.0,290.0,201740.0,2014-11-17,431.0
2014-12-16,MDB,10,467.0,4670.0,390.0,202130.0,2014-12-08,428.0
2015-01-05,MDB,10,413.0,4130.0,410.0,198170.0,2014-12-31,372.0
2015-01-19,GBBL,10,340.0,3400.0,270.0,201570.0,2014-11-11,313.0
2015-01-20,CZBIL,10,470.0,4700.0,250.0,206270.0,2014-09-16,445.0
2015-01-20,PCBL,10,479.0,4790.0,420.0,211060.0,2014-12-28,437.0
2015-03-02,JBBL,20,199.0,3980.0,420.0,215040.0,2014-08-25,178.0
2015-04-12,ADBL,10,471.0,4710.0,210.0,207630.0,2015-04-07,450.0
2015-06-02,CZBIL,10,427.0,4270.0,240.0,195770.0,2015-05-27,403.0
2015-06-02,MDB,10,449.0,4490.0,220.0,200260.0,2015-05-25,427.0
2015-06-10,PCBL,10,480.0,4800.0,320.0,205060.0,2015-03-11,448.0
2015-07-26,ADBL,10,465.0,4650.0,280.0,209710.0,2015-04-19,437.0
2015-07-27,JBBL,20,209.0,4180.0,720.0,213890.0,2015-04-19,173.0
2015-08-23,NHPC,20,113.0,2260.0,-1300.0,216150.0,2014-08-21,178.0
2015-08-25,AHPC,10,275.0,2750.0,-1580.0,218900.0,2014-08-24,433.0
2015-09-01,KBL,10,473.0,4730.0,440.0,216360.0,2014-10-22,429.0
2015-10-08,GBBL,10,341.0,3410.0,270.0,219770.0,2015-03-29,314.0
2015-12-21,ADBL,10,481.0,4810.0,310.0,199970.0,2015-11-23,450.0
2016-01-18,NMB,10,474.0,4740.0,220.0,204710.0,2015-11-24,452.0
2016-01-19,NHPC,40,138.0,5520.0,1000.0,210230.0,2015-08-31,113.0
2016-01-21,AHPC,10,312.0,3120.0,370.0,213350.0,2015-08-25,275.0
2016-01-27,OHL,10,476.0,4760.0,240.0,218110.0,2015-11-18,452.0
2016-03-06,OHL,10,463.0,4630.0,580.0,218690.0,2016-03-01,405.0
2016-03-24,GBBL,10,370.0,3700.0,240.0,222390.0,2015-10-27,346.0
2016-05-04,AHPC,10,327.0,3270.0,210.0,222600.0,2016-04-25,306.0
2016-06-01,NHPC,20,212.0,4240.0,700.0,223300.0,2016-05-22,177.0
2016-09-29,JBBL,20,212.0,4240.0,700.0,220320.0,2015-10-25,177.0
2016-10-04,KBL,10,468.0,4680.0,610.0,225000.0,2015-11-16,407.0
2016-11-15,GBBL,10,398.0,3980.0,350.0,225350.0,2016-11-14,363.0
2016-11-29,CZBIL,10,487.0,4870.0,260.0,217300.0,2016-11-28,461.0
2016-11-29,MDB,10,464.0,4640.0,250.0,221940.0,2016-11-28,439.0
2016-11-30,GBBL,10,418.0,4180.0,260.0,226120.0,2016-11-21,392.0
2017-01-02,OHL,10,485.0,4850.0,240.0,215080.0,2016-12-21,461.0
2017-01-03,CZBIL,10,495.0,4950.0,330.0,220030.0,2016-12-27,462.0
2017-02-02,ADBL,10,492.0,4920.0,410.0,197920.0,2017-01-30,451.0
2017-02-02,GBBL,10,413.0,4130.0,250.0,202050.0,2016-12-26,388.0
2017-02-02,NMB,10,492.0,4920.0,360.0,206970.0,2017-01-31,456.0
2017-02-02,SANIMA,10,494.0,4940.0,360.0,211910.0,2017-01-31,458.0
2017-02-05,MDB,10,478.0,4780.0,300.0,216690.0,2017-01-26,448.0
2017-02-19,OHL,10,483.0,4830.0,320.0,195340.0,2017-02-12,451.0
2017-02-20,MDB,10,490.0,4900.0,390.0,200240.0,2017-02-12,451.0
2017-02-20,NMB,10,493.0,4930.0,300.0,205170.0,2017-02-07,463.0
2017-02-20,SANIMA,10,487.0,4870.0,270.0,210040.0,2017-02-09,460.0
2017-03-13,OHL,10,475.0,4750.0,240.0,197750.0,2017-03-01,451.0
2017-03-20,SANIMA,10,488.0,4880.0,260.0,202630.0,2017-02-28,462.0
2017-03-21,NMB,10,480.0,4800.0,200.0,207430.0,2017-02-26,460.0
2017-03-22,ADBL,10,493.0,4930.0,370.0,212360.0,2017-02-07,456.0
2017-03-22,GBBL,10,365.0,3650.0,280.0,216010.0,2017-02-05,337.0
2017-03-26,KBL,10,354.0,3540.0,230.0,219550.0,2017-03-05,331.0
2017-03-29,JBBL,10,310.0,3100.0,320.0,219110.0,2017-01-01,278.0
2017-03-29,KBL,10,379.0,3790.0,250.0,222900.0,2017-03-26,354.0
2017-04-03,PCBL,10,469.0,4690.0,340.0,227590.0,2017-01-15,435.0
2017-04-20,GBBL,10,357.0,3570.0,290.0,219530.0,2017-04-18,328.0
2017-06-07,ADBL,10,463.0,4630.0,220.0,213880.0,2017-05-22,441.0
2017-07-19,PCBL,10,436.0,4360.0,220.0,209470.0,2017-06-18,414.0
2017-08-23,AHPC,10,262.0,2620.0,-920.0,212090.0,2016-08-22,354.0
2017-08-23,NHPC,20,146.0,2920.0,-760.0,215010.0,2016-08-22,184.0
2017-09-17,NMB,10,485.0,4850.0,240.0,208430.0,2017-09-11,461.0
2017-10-17,NMB,10,495.0,4950.0,310.0,208740.0,2017-10-10,464.0
2017-11-15,NMB,10,488.0,4880.0,250.0,208990.0,2017-11-09,463.0
2017-11-22,MDB,10,479.0,4790.0,230.0,209220.0,2017-11-21,456.0
2018-01-28,CZBIL,10,274.0,2740.0,-1810.0,194820.0,2017-01-25,455.0
2018-02-18,NMB,10,481.0,4810.0,250.0,196830.0,2017-12-27,456.0
2018-03-28,BPCL,10,460.0,4600.0,320.0,192650.0,2018-03-27,428.0
2018-04-19,KBL,10,273.0,2730.0,-920.0,195380.0,2017-04-18,365.0
2018-04-19,SANIMA,10,376.0,3760.0,-940.0,199140.0,2017-04-18,470.0
2018-04-22,NMB,10,479.0,4790.0,290.0,203930.0,2018-03-04,450.0
2018-04-29,GBBL,10,199.0,1990.0,-1410.0,205920.0,2017-04-26,340.0
2018-04-29,JBBL,10,153.0,1530.0,-940.0,207450.0,2017-04-27,247.0
2018-06-10,ADBL,10,327.0,3270.0,-1360.0,196370.0,2017-06-07,463.0
2018-08-16,ADBL,10,344.0,3440.0,340.0,184260.0,2018-06-21,310.0
2018-08-26,AHPC,10,132.0,1320.0,-1300.0,185580.0,2017-08-23,262.0
