Date,Symbol,Side,Quantity,Price,TradeValue,Allocated,RemainingAllocation,CashAfterTrade,EntryDate,EntryPrice
3/1/2012,CHCL,BUY,11,596,6556,6666.666667,110.6666667,193444,3/1/2012,596
3/5/2012,CHCL,SELL,11,599,6589,,,200033,3/1/2012,596
3/14/2012,EBL,BUY,9,670,6030,6666.666667,636.6666667,194003,3/14/2012,670
3/18/2012,EBL,SELL,9,683,6147,,,200150,3/14/2012,670
3/20/2012,EBL,BUY,10,665,6650,6666.666667,16.66666667,193500,3/20/2012,665
3/25/2012,ADBL,BUY,64,104,6656,6666.666667,10.66666667,193844,3/25/2012,104
3/25/2012,EBL,SELL,10,700,7000,,,200500,3/20/2012,665
3/27/2012,ADBL,SELL,64,107,6848,,,200692,3/25/2012,104
4/2/2012,ALICL,BUY,44,150,6600,6666.666667,66.66666667,194092,4/2/2012,150
4/25/2012,ALICL,SELL,44,191,8404,,,202496,4/2/2012,150
5/22/2012,OHL,BUY,86,77,6622,6666.666667,44.66666667,195874,5/22/2012,77
6/4/2012,OHL,SELL,86,92,7912,,,203786,5/22/2012,77
6/25/2012,KBL,BUY,29,225,6525,6666.666667,141.6666667,197261,6/25/2012,225
6/25/2012,SBI,BUY,11,560,6160,6666.666667,506.6666667,191101,6/25/2012,560
6/28/2012,HBL,BUY,11,590,6490,6666.666667,176.6666667,184611,6/28/2012,590
7/1/2012,GBBL,BUY,46,142,6532,6666.666667,134.6666667,184865,7/1/2012,142
7/1/2012,KBL,SELL,29,234,6786,,,191397,6/25/2012,225
7/2/2012,GBBL,SELL,46,142,6532,,,191397,7/1/2012,142
7/3/2012,NMB,BUY,37,180,6660,6666.666667,6.666666667,191546,7/3/2012,180
7/3/2012,SBI,SELL,11,619,6809,,,198206,6/25/2012,560
7/4/2012,NMB,SELL,37,191,7067,,,198613,7/3/2012,180
7/9/2012,HBL,SELL,11,635,6985,,,205598,6/28/2012,590
10/11/2012,JBBL,BUY,74,90,6660,6666.666667,6.666666667,198938,10/11/2012,90
10/14/2012,JBBL,SELL,74,91,6734,,,205672,10/11/2012,90
10/17/2012,JBBL,BUY,74,89,6586,6666.666667,80.66666667,199086,10/17/2012,89
11/5/2012,MNBBL,BUY,26,256,6656,6666.666667,10.66666667,192430,11/5/2012,256
11/12/2012,AHPC,BUY,20,332,6640,6666.666667,26.66666667,185790,11/12/2012,332
11/27/2012,JBBL,SELL,74,97,7178,,,192968,10/17/2012,89
11/28/2012,AHPC,SELL,20,340,6800,,,199768,11/12/2012,332
11/28/2012,MNBBL,SELL,26,263,6838,,,206606,11/5/2012,256
11/29/2012,DDBL,BUY,22,290,6380,6666.666667,286.6666667,200226,11/29/2012,290
12/6/2012,DDBL,SELL,22,298,6556,,,206782,11/29/2012,290
12/24/2012,AHPC,BUY,20,324,6480,6666.666667,186.6666667,200302,12/24/2012,324
1/1/2013,AHPC,SELL,20,330,6600,,,206902,12/24/2012,324
1/15/2013,GBBL,BUY,38,173,6574,6666.666667,92.66666667,200328,1/15/2013,173
1/22/2013,GBBL,SELL,38,179,6802,,,207130,1/15/2013,173
2/3/2013,JBBL,BUY,88,75,6600,6666.666667,66.66666667,200530,2/3/2013,75
2/4/2013,AHPC,BUY,20,318,6360,6666.666667,306.6666667,194170,2/4/2013,318
2/12/2013,AHPC,SELL,20,341,6820,,,200990,2/4/2013,318
2/12/2013,CZBIL,BUY,25,265,6625,6666.666667,41.66666667,194365,2/12/2013,265
2/12/2013,HBL,BUY,8,755,6040,6666.666667,626.6666667,188325,2/12/2013,755
2/19/2013,CZBIL,SELL,25,309,7725,,,196050,2/12/2013,265
2/24/2013,JBBL,SELL,88,82,7216,,,203266,2/3/2013,75
2/26/2013,BPCL,BUY,8,775,6200,6666.666667,466.6666667,197066,2/26/2013,775
2/28/2013,HBL,SELL,8,819,6552,,,203618,2/12/2013,755
3/7/2013,BPCL,SELL,8,789,6312,,,209930,2/26/2013,775
4/8/2013,CBBL,BUY,18,360,6480,6666.666667,186.6666667,203450,4/8/2013,360
4/9/2013,BPCL,BUY,8,760,6080,6666.666667,586.6666667,197370,4/9/2013,760
4/11/2013,BPCL,SELL,8,770,6160,,,203530,4/9/2013,760
4/15/2013,CHCL,BUY,5,1153,5765,6666.666667,901.6666667,197765,4/15/2013,1153
4/17/2013,CHCL,SELL,5,1155,5775,,,203540,4/15/2013,1153
4/21/2013,CBBL,SELL,18,380,6840,,,210380,4/8/2013,360
5/6/2013,MDB,BUY,51,130,6630,6666.666667,36.66666667,203750,5/6/2013,130
5/7/2013,PCBL,BUY,21,316,6636,6666.666667,30.66666667,197114,5/7/2013,316
5/13/2013,JBBL,BUY,88,75,6600,6666.666667,66.66666667,190514,5/13/2013,75
5/13/2013,LICN,BUY,6,975,5850,6666.666667,816.6666667,184664,5/13/2013,975
5/14/2013,JBBL,SELL,88,78,6864,,,191528,5/13/2013,75
5/14/2013,MDB,SELL,51,130,6630,,,198158,5/6/2013,130
5/15/2013,EBL,BUY,4,1533,6132,6666.666667,534.6666667,192026,5/15/2013,1533
5/16/2013,SBI,BUY,8,825,6600,6666.666667,66.66666667,185426,5/16/2013,825
5/19/2013,ALICL,BUY,30,220,6600,6666.666667,66.66666667,178826,5/19/2013,220
5/20/2013,ALICL,SELL,30,222,6660,,,185486,5/19/2013,220
5/20/2013,SBI,SELL,8,828,6624,,,192110,5/16/2013,825
5/23/2013,LICN,SELL,6,1130,6780,,,198890,5/13/2013,975
6/2/2013,PCBL,SELL,21,330,6930,,,205820,5/7/2013,316
6/3/2013,JBBL,BUY,92,72,6624,6666.666667,42.66666667,199196,6/3/2013,72
6/5/2013,EBL,SELL,4,1546,6184,,,205380,5/15/2013,1533
6/20/2013,MDB,BUY,48,138,6624,6666.666667,42.66666667,198756,6/20/2013,138
6/23/2013,JBBL,SELL,92,79,7268,,,206024,6/3/2013,72
6/24/2013,MDB,SELL,48,141,6768,,,212792,6/20/2013,138
6/26/2013,EBL,BUY,4,1530,6120,6666.666667,546.6666667,206672,6/26/2013,1530
6/26/2013,NABIL,BUY,3,1730,5190,6666.666667,1476.666667,201482,6/26/2013,1730
6/27/2013,EBL,SELL,4,1550,6200,,,207682,6/26/2013,1530
7/10/2013,HBL,BUY,9,690,6210,6666.666667,456.6666667,201472,7/10/2013,690
7/15/2013,NABIL,SELL,3,1790,5370,,,206842,6/26/2013,1730
7/23/2013,CIT,BUY,5,1180,5900,6666.666667,766.6666667,200942,7/23/2013,1180
7/31/2013,HBL,SELL,9,729,6561,,,207503,7/10/2013,690
8/4/2013,CIT,SELL,5,1519,7595,,,215098,7/23/2013,1180
8/20/2013,PCBL,BUY,21,312,6552,6666.666667,114.6666667,208546,8/20/2013,312
8/25/2013,PCBL,SELL,21,317,6657,,,215203,8/20/2013,312
9/15/2013,SBI,BUY,7,840,5880,6666.666667,786.6666667,209323,9/15/2013,840
9/17/2013,NHPC,BUY,130,51,6630,6666.666667,36.66666667,208650,9/17/2013,51
9/17/2013,SBI,SELL,7,851,5957,,,215280,9/15/2013,840
9/22/2013,NHPC,SELL,130,53,6890,,,215540,9/17/2013,51
10/8/2013,JBBL,BUY,85,78,6630,6666.666667,36.66666667,208910,10/8/2013,78
10/10/2013,SBI,BUY,8,750,6000,6666.666667,666.6666667,202910,10/10/2013,750
10/17/2013,JBBL,SELL,85,79,6715,,,209625,10/8/2013,78
10/27/2013,SBI,SELL,8,780,6240,,,215865,10/10/2013,750
10/28/2013,MNBBL,BUY,21,317,6657,6666.666667,9.666666667,209208,10/28/2013,317
10/30/2013,MNBBL,SELL,21,341,7161,,,216369,10/28/2013,317
10/31/2013,SBI,BUY,8,745,5960,6666.666667,706.6666667,210409,10/31/2013,745
12/1/2013,SBI,SELL,8,830,6640,,,217049,10/31/2013,745
2/26/2014,NTC,BUY,9,670,6030,6666.666667,636.6666667,211019,2/26/2014,670
3/4/2014,NTC,SELL,9,683,6147,,,217166,2/26/2014,670
3/24/2014,ADBL,BUY,13,483,6279,6666.666667,387.6666667,210887,3/24/2014,483
3/27/2014,PCBL,BUY,14,460,6440,6666.666667,226.6666667,204447,3/27/2014,460
3/31/2014,LICN,BUY,2,2440,4880,6666.666667,1786.666667,199567,3/31/2014,2440
4/1/2014,CZBIL,BUY,15,434,6510,6666.666667,156.6666667,193057,4/1/2014,434
4/3/2014,CZBIL,SELL,15,449,6735,,,199792,4/1/2014,434
4/6/2014,ADBL,SELL,13,484,6292,,,206084,3/24/2014,483
4/10/2014,PCBL,SELL,14,475,6650,,,212734,3/27/2014,460
4/16/2014,LICN,SELL,2,3055,6110,,,218844,3/31/2014,2440
4/22/2014,NTC,BUY,10,655,6550,6666.666667,116.6666667,212294,4/22/2014,655
4/23/2014,NTC,SELL,10,660,6600,,,218894,4/22/2014,655
4/27/2014,ADBL,BUY,13,480,6240,6666.666667,426.6666667,212654,4/27/2014,480
4/28/2014,ADBL,SELL,13,486,6318,,,218972,4/27/2014,480
4/30/2014,ADBL,BUY,14,465,6510,6666.666667,156.6666667,212462,4/30/2014,465
5/5/2014,SBI,BUY,6,975,5850,6666.666667,816.6666667,206612,5/5/2014,975
5/7/2014,ADBL,SELL,14,480,6720,,,213332,4/30/2014,465
5/20/2014,SBI,SELL,6,1013,6078,,,219410,5/5/2014,975
5/21/2014,PCBL,BUY,14,470,6580,6666.666667,86.66666667,212830,5/21/2014,470
5/22/2014,PCBL,SELL,14,485,6790,,,219620,5/21/2014,470
5/28/2014,ADBL,BUY,15,442,6630,6666.666667,36.66666667,212990,5/28/2014,442
5/28/2014,NABIL,BUY,3,1950,5850,6666.666667,816.6666667,207140,5/28/2014,1950
6/1/2014,ADBL,SELL,15,455,6825,,,213965,5/28/2014,442
6/3/2014,AHPC,BUY,15,418,6270,6666.666667,396.6666667,207695,6/3/2014,418
6/3/2014,CZBIL,BUY,15,432,6480,6666.666667,186.6666667,201215,6/3/2014,432
6/11/2014,AHPC,SELL,15,429,6435,,,207650,6/3/2014,418
6/15/2014,ALICL,BUY,7,890,6230,6666.666667,436.6666667,207900,6/15/2014,890
6/15/2014,NABIL,SELL,3,2160,6480,,,214130,5/28/2014,1950
6/18/2014,CZBIL,SELL,15,480,7200,,,215100,6/3/2014,432
6/25/2014,ALICL,SELL,7,1100,7700,,,222800,6/15/2014,890
7/6/2014,NTC,BUY,11,600,6600,6666.666667,66.66666667,216200,7/6/2014,600
7/7/2014,NTC,SELL,11,623,6853,,,223053,7/6/2014,600
9/15/2014,NMB,BUY,14,453,6342,6666.666667,324.6666667,216711,9/15/2014,453
9/16/2014,PCBL,BUY,13,497,6461,6666.666667,205.6666667,210250,9/16/2014,497
9/17/2014,PCBL,SELL,13,546,7098,,,217348,9/16/2014,497
9/21/2014,NMB,SELL,14,468,6552,,,223900,9/15/2014,453
10/26/2014,NTC,BUY,10,615,6150,6666.666667,516.6666667,217750,10/26/2014,615
10/28/2014,NTC,SELL,10,620,6200,,,223950,10/26/2014,615
11/20/2014,AHPC,BUY,19,350,6650,6666.666667,16.66666667,217300,11/20/2014,350
11/23/2014,AHPC,SELL,19,365,6935,,,224235,11/20/2014,350
11/23/2014,MDB,BUY,15,435,6525,6666.666667,141.6666667,217710,11/23/2014,435
11/24/2014,MDB,SELL,15,460,6900,,,224610,11/23/2014,435
12/10/2014,MDB,BUY,15,425,6375,6666.666667,291.6666667,218235,12/10/2014,425
12/11/2014,MDB,SELL,15,441,6615,,,224850,12/10/2014,425
12/14/2014,OHL,BUY,10,625,6250,6666.666667,416.6666667,218600,12/14/2014,625
12/15/2014,MDB,BUY,15,425,6375,6666.666667,291.6666667,212225,12/15/2014,425
12/16/2014,MDB,SELL,15,467,7005,,,219230,12/15/2014,425
12/17/2014,OHL,SELL,10,630,6300,,,225530,12/14/2014,625
12/18/2014,TRH,BUY,25,266,6650,6666.666667,16.66666667,218880,12/18/2014,266
12/23/2014,TRH,SELL,25,280,7000,,,225880,12/18/2014,266
12/28/2014,AHPC,BUY,18,353,6354,6666.666667,312.6666667,219526,12/28/2014,353
1/1/2015,AHPC,SELL,18,362,6516,,,226042,12/28/2014,353
1/4/2015,JBBL,BUY,44,149,6556,6666.666667,110.6666667,219486,1/4/2015,149
1/6/2015,JBBL,SELL,44,155,6820,,,226306,1/4/2015,149
1/7/2015,TRH,BUY,25,258,6450,6666.666667,216.6666667,219856,1/7/2015,258
1/14/2015,ADBL,BUY,14,475,6650,6666.666667,16.66666667,213206,1/14/2015,475
1/18/2015,ADBL,SELL,14,484,6776,,,219982,1/14/2015,475
1/19/2015,ADBL,BUY,14,475,6650,6666.666667,16.66666667,213332,1/19/2015,475
1/22/2015,ADBL,SELL,14,478,6692,,,220024,1/19/2015,475
2/2/2015,TRH,SELL,25,290,7250,,,227274,1/7/2015,258
3/19/2015,AHPC,BUY,19,344,6536,6666.666667,130.6666667,220738,3/19/2015,344
3/19/2015,CHCL,BUY,4,1609,6436,6666.666667,230.6666667,214302,3/19/2015,1609
3/22/2015,AHPC,SELL,19,358,6802,,,221104,3/19/2015,344
3/22/2015,CHCL,SELL,4,1630,6520,,,227624,3/19/2015,1609
